;$FILEVERSION=1.1
;$STARTTIME=45565.4446938773
;
;   Start time: 9/30/2024 10:40:21.551.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   250)      3613.4  Rx         0612  8  00 57 C5 41 73 33 F9 41
   251)      3648.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   252)      3648.5  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   253)      3648.8  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   254)      3693.5  Rx         0603  8  53 43 29 41 BA F4 3E 40
   255)      3693.7  Rx         0613  8  57 3B 27 41 3C AD 41 40
   256)      3748.8  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   257)      3749.1  Rx         03FA  8  27 7A 01 00 55 FE FF FF
   258)      3749.4  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   259)      3773.8  Rx         0604  8  CD CC E2 42 00 00 E0 40
   260)      3774.1  Rx         0614  8  CD CC E2 42 00 00 E0 40
   261)      3840.6  Rx         0304  8  CB 0E 00 00 F1 00 E3 00
   262)      3841.5  Rx         0307  8  D1 0E 00 00 E8 00 E5 00
   263)      3842.4  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   264)      3843.4  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   265)      3844.3  Rx         0306  8  13 0E 28 0E 0F 0E 13 0E
   266)      3845.3  Rx         0301  8  52 12 00 00 00 01 E4 00
   267)      3846.2  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   268)      3847.1  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   269)      3848.1  Rx         030A  8  DF 0F 00 00 CD 00 E3 00
   270)      3849.0  Rx         0303  8  14 0E 17 0E 00 80 00 80
   271)      3849.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   272)      3849.7  Rx         03FA  8  27 7A 01 00 54 FE FF FF
   273)      3850.0  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   274)      3850.3  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
   275)      3851.0  Rx         030C  8  18 0E 00 80 00 80 00 80
   276)      3854.2  Rx         0605  8  00 00 00 08 00 01 80 07
   277)      3854.4  Rx         0615  8  00 00 00 08 00 01 80 07
   278)      3934.5  Rx         0606  8  02 6B E3 42 51 2D BD 41
   279)      3934.7  Rx         0616  8  D7 9B E3 42 8A 45 BC 41
   280)      3949.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   281)      3950.2  Rx         03FA  8  37 7A 01 00 51 FE FF FF
   282)      3950.5  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   283)      4050.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   284)      4050.8  Rx         03FA  8  37 7A 01 00 5B FE FF FF
   285)      4051.1  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   286)      4151.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   287)      4151.3  Rx         03FA  8  27 7A 01 00 56 FE FF FF
   288)      4151.6  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   289)      4251.6  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   290)      4251.9  Rx         03FA  8  27 7A 01 00 53 FE FF FF
   291)      4252.2  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   292)      4255.8  Rx         0600  8  6F 5E 4E 42 29 B5 85 3C
   293)      4256.0  Rx         0610  8  37 2E 68 42 B0 0A 75 3C
   294)      4336.2  Rx         0601  8  C3 DE E2 42 09 40 F3 3B
   295)      4336.4  Rx         0611  8  95 23 E3 42 0C 7B FA 3B
   296)      4353.1  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   297)      4353.4  Rx         03FA  8  27 7A 01 00 56 FE FF FF
   298)      4353.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   299)      4354.0  Rx         03F9  8  E3 00 E5 00 02 00 03 00
   300)      4354.3  Rx         0300  8  05 50 00 00 AB 0D 00 00
   301)      4354.6  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   302)      4354.9  Rx         03F7  8  5C 04 00 00 D8 00 01 00
   303)      4355.2  Rx         03F4  8  DB D1 CB 41 86 3D F0 3E
   304)      4355.5  Rx         03F5  8  00 00 00 00 00 00 00 00
   305)      4355.8  Rx         03FC  8  BA 09 F6 09 C1 03 1F 00
   306)      4356.1  Rx         03FD  8  80 00 00 00 00 00 00 00
   307)      4416.5  Rx         0602  8  90 2A C5 41 EB 79 D7 41
   308)      4416.8  Rx         0612  8  41 53 C5 41 10 2A F9 41
   309)      4452.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   310)      4453.0  Rx         03FA  8  27 7A 01 00 5A FE FF FF
   311)      4453.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   312)      4496.9  Rx         0603  8  01 8B 29 41 93 FD 3E 40
   313)      4497.1  Rx         0613  8  7C 87 27 41 C7 B1 41 40
   314)      4553.3  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   315)      4553.6  Rx         03FA  8  37 7A 01 00 53 FE FF FF
   316)      4553.9  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   317)      4577.2  Rx         0604  8  CD CC E2 42 00 00 E0 40
   318)      4577.5  Rx         0614  8  CD CC E2 42 00 00 E0 40
   319)      4653.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   320)      4654.2  Rx         03FA  8  27 7A 01 00 54 FE FF FF
   321)      4654.5  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   322)      4657.6  Rx         0605  8  00 00 00 08 00 01 80 08
   323)      4657.8  Rx         0615  8  00 00 00 08 00 01 80 08
   324)      4729.3  Rx         0304  8  CB 0E 00 00 F1 00 E2 00
   325)      4730.3  Rx         0307  8  D1 0E 00 00 E8 00 E5 00
   326)      4731.2  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   327)      4732.2  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   328)      4733.1  Rx         0306  8  13 0E 28 0E 10 0E 14 0E
   329)      4734.1  Rx         0301  8  52 12 00 00 00 01 E4 00
   330)      4735.0  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   331)      4735.9  Rx         0302  8  13 0E 15 0E 12 0E 15 0E
   332)      4736.9  Rx         030A  8  DF 0F 00 00 CC 00 E4 00
   333)      4737.9  Rx         0303  8  14 0E 17 0E 00 80 00 80
   334)      4738.1  Rx         0606  8  20 17 E3 42 74 32 BD 41
   335)      4738.3  Rx         0616  8  A3 4B E3 42 EC 45 BC 41
   336)      4738.8  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
   337)      4739.8  Rx         030C  8  18 0E 00 80 00 80 00 80
   338)      4754.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   339)      4754.8  Rx         03FA  8  27 7A 01 00 52 FE FF FF
   340)      4755.1  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   341)      4855.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   342)      4855.3  Rx         03FA  8  27 7A 01 00 4E FE FF FF
   343)      4855.6  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   344)      4955.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   345)      4955.9  Rx         03FA  8  27 7A 01 00 56 FE FF FF
   346)      4956.2  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   347)      5056.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   348)      5056.4  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   349)      5056.7  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   350)      5059.3  Rx         0600  8  F0 AC 51 42 7F FC 82 3C
   351)      5059.5  Rx         0610  8  33 2C 68 42 D2 52 75 3C
   352)      5139.6  Rx         0601  8  65 90 E2 42 D8 71 F2 3B
   353)      5139.8  Rx         0611  8  0A CF E2 42 12 20 FB 3B
   354)      5156.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   355)      5157.0  Rx         03FA  8  47 7A 01 00 52 FE FF FF
   356)      5157.3  Rx         03F6  8  AA 01 23 FF 82 FC 30 00
   357)      5219.9  Rx         0602  8  15 2B C5 41 BB 5D D7 41
   358)      5220.2  Rx         0612  8  11 55 C5 41 9D E0 F8 41
   359)      5257.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
