;$FILEVERSION=1.1
;$STARTTIME=45565.4446938773
;
;   Start time: 9/30/2024 10:40:21.551.0
;   Generated by PCAN-View v5.3.0.942
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   728)     10487.0  Rx         03FA  8  37 7A 01 00 5B FE FF FF
   729)     10487.3  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   730)     10587.3  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   731)     10587.6  Rx         03FA  8  27 7A 01 00 5E FE FF FF
   732)     10587.9  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   733)     10687.9  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   734)     10688.2  Rx         03FA  8  37 7A 01 00 5F FE FF FF
   735)     10688.4  Rx         0600  8  E9 0A 49 42 1F 2F 86 3C
   736)     10688.6  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   737)     10688.9  Rx         0610  8  13 24 68 42 73 8B 75 3C
   738)     10768.7  Rx         0601  8  05 C8 E2 42 D5 E8 ED 3B
   739)     10768.9  Rx         0611  8  15 03 E3 42 A1 17 FB 3B
   740)     10788.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   741)     10788.7  Rx         03FA  8  27 7A 01 00 62 FE FF FF
   742)     10789.0  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   743)     10849.0  Rx         0602  8  D0 41 C5 41 07 5C D7 41
   744)     10849.3  Rx         0612  8  AD 6F C5 41 D7 19 F9 41
   745)     10889.0  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   746)     10889.3  Rx         03FA  8  27 7A 01 00 57 FE FF FF
   747)     10889.6  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   748)     10929.3  Rx         0603  8  98 B3 29 41 DB F8 3E 40
   749)     10929.6  Rx         0613  8  86 BD 27 41 AD AD 41 40
   750)     10950.8  Rx         0304  8  CB 0E 00 00 F1 00 E3 00
   751)     10951.7  Rx         0307  8  D1 0E 00 00 E8 00 E3 00
   752)     10952.7  Rx         0305  8  12 0E 0A 0E 12 0E 21 0E
   753)     10953.6  Rx         0308  8  11 0E 14 0E 12 0E 14 0E
   754)     10954.6  Rx         0306  8  13 0E 28 0E 0F 0E 14 0E
   755)     10955.5  Rx         0301  8  52 12 00 00 01 01 E4 00
   756)     10956.4  Rx         0309  8  14 0E 19 0E 18 0E 14 0E
   757)     10957.4  Rx         0302  8  13 0E 14 0E 12 0E 15 0E
   758)     10958.4  Rx         030A  8  DF 0F 00 00 CC 00 E3 00
   759)     10959.3  Rx         0303  8  14 0E 17 0E 00 80 00 80
   760)     10960.2  Rx         030B  8  16 0E 19 0E 15 0E 18 0E
   761)     10961.3  Rx         030C  8  18 0E 00 80 00 80 00 80
   762)     10989.5  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   763)     10989.8  Rx         03FA  8  27 7A 01 00 64 FE FF FF
   764)     10990.1  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   765)     11009.7  Rx         0604  8  CD CC E2 42 00 00 E0 40
   766)     11009.9  Rx         0614  8  CD CC E2 42 00 00 E0 40
   767)     11090.0  Rx         0605  8  00 00 00 08 05 01 80 10
   768)     11090.3  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   769)     11090.5  Rx         0615  8  00 00 00 08 00 01 80 10
   770)     11090.7  Rx         03FA  8  27 7A 01 00 59 FE FF FF
   771)     11091.0  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   772)     11170.4  Rx         0606  8  B3 F9 E2 42 42 39 BD 41
   773)     11170.6  Rx         0616  8  67 2D E3 42 8D 59 BC 41
   774)     11190.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   775)     11191.0  Rx         03FA  8  27 7A 01 00 5D FE FF FF
   776)     11191.3  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   777)     11291.2  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   778)     11291.5  Rx         03FA  8  27 7A 01 00 5D FE FF FF
   779)     11291.8  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   780)     11392.7  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   781)     11393.0  Rx         03FA  8  27 7A 01 00 56 FE FF FF
   782)     11393.3  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
   783)     11393.6  Rx         03F9  8  E3 00 E4 00 02 00 01 00
   784)     11393.9  Rx         0300  8  05 50 00 00 AB 0D 00 00
   785)     11394.2  Rx         03FB  8  D2 0F A0 0F 80 04 C7 03
   786)     11394.5  Rx         03F7  8  5C 04 00 00 DF 00 01 00
   787)     11394.8  Rx         03F4  8  8F D3 CB 41 40 3B F0 3E
   788)     11395.1  Rx         03F5  8  00 00 00 00 00 00 00 00
   789)     11395.4  Rx         03FC  8  BA 09 F6 09 D4 03 1F 00
   790)     11395.8  Rx         03FD  8  80 00 00 00 00 00 00 00
   791)     11491.7  Rx         0600  8  4B CE 45 42 AE 09 88 3C
   792)     11491.9  Rx         0610  8  20 24 68 42 E3 41 76 3C
   793)     11492.4  Rx         03F8  8  0A 0E 28 0E 02 01 02 05
   794)     11492.7  Rx         03FA  8  27 7A 01 00 5F FE FF FF
   795)     11493.0  Rx         03F6  8  AA 01 22 FF 82 FC 30 00
